a,b,R2
0.523046,0.000000,-3.123782
0.526052,0.000000,-3.099791
0.529058,0.000000,-3.075880
0.532064,0.000000,-3.052051
0.535070,0.000000,-3.028302
0.538076,0.000000,-3.004633
0.541082,0.000000,-2.981046
0.544088,0.000000,-2.957539
0.547094,0.000000,-2.934112
0.550100,0.000000,-2.910766
0.553106,0.000000,-2.887501
0.556112,0.000000,-2.864316
0.559118,0.000000,-2.841212
0.562124,0.000000,-2.818189
0.565130,0.000000,-2.795246
0.568136,0.000000,-2.772384
0.571142,0.000000,-2.749602
0.574148,0.000000,-2.726901
0.577154,0.000000,-2.704281
0.580160,0.000000,-2.681741
0.583166,0.000000,-2.659282
0.586172,0.000000,-2.636903
0.589178,0.000000,-2.614605
0.592184,0.000000,-2.592388
0.595190,0.000000,-2.570251
0.598196,0.000000,-2.548195
0.601202,0.000000,-2.526220
0.604208,0.000000,-2.504325
0.607214,0.000000,-2.482511
0.610220,0.000000,-2.460777
0.613226,0.000000,-2.439124
0.616232,0.000000,-2.417552
0.619238,0.000000,-2.396060
0.622244,0.000000,-2.374649
0.625251,0.000000,-2.353319
0.628257,0.000000,-2.332069
0.631263,0.000000,-2.310899
0.634269,0.000000,-2.289811
0.637275,0.000000,-2.268803
0.640281,0.000000,-2.247875
0.643287,0.000000,-2.227028
0.646293,0.000000,-2.206262
0.649299,0.000000,-2.185577
0.652305,0.000000,-2.164972
0.655311,0.000000,-2.144447
0.658317,0.000000,-2.124004
0.661323,0.000000,-2.103641
0.664329,0.000000,-2.083358
0.667335,0.000000,-2.063156
0.670341,0.000000,-2.043035
0.673347,0.000000,-2.022994
0.676353,0.000000,-2.003034
0.679359,0.000000,-1.983155
0.682365,0.000000,-1.963356
0.685371,0.000000,-1.943638
0.688377,0.000000,-1.924000
0.691383,0.000000,-1.904443
0.694389,0.000000,-1.884967
0.697395,0.000000,-1.865571
0.700401,0.000000,-1.846256
0.703407,0.000000,-1.827022
0.706413,0.000000,-1.807868
0.709419,0.000000,-1.788795
0.712425,0.000000,-1.769802
0.715431,0.000000,-1.750890
0.718437,0.000000,-1.732059
0.721443,0.000000,-1.713308
0.724449,0.000000,-1.694638
0.727455,0.000000,-1.676048
0.730461,0.000000,-1.657539
0.733467,0.000000,-1.639111
0.736473,0.000000,-1.620763
0.739479,0.000000,-1.602496
0.742485,0.000000,-1.584310
0.745491,0.000000,-1.566204
0.748497,0.000000,-1.548178
0.751503,0.000000,-1.530234
0.754509,0.000000,-1.512370
0.757515,0.000000,-1.494586
0.760521,0.000000,-1.476884
0.763527,0.000000,-1.459262
0.766533,0.000000,-1.441720
0.769539,0.000000,-1.424259
0.772545,0.000000,-1.406879
0.775551,0.000000,-1.389579
0.778557,0.000000,-1.372360
0.781563,0.000000,-1.355222
0.784569,0.000000,-1.338164
0.787575,0.000000,-1.321186
0.790581,0.000000,-1.304290
0.793587,0.000000,-1.287474
0.796593,0.000000,-1.270738
0.799599,0.000000,-1.254084
0.802605,0.000000,-1.237510
0.805611,0.000000,-1.221016
0.808617,0.000000,-1.204603
0.811623,0.000000,-1.188271
0.814629,0.000000,-1.172019
0.817635,0.000000,-1.155848
0.820641,0.000000,-1.139758
0.823647,0.000000,-1.123748
0.826653,0.000000,-1.107819
0.829659,0.000000,-1.091970
0.832665,0.000000,-1.076202
0.835671,0.000000,-1.060515
0.838677,0.000000,-1.044908
0.841683,0.000000,-1.029382
0.844689,0.000000,-1.013936
0.847695,0.000000,-0.998571
0.850701,0.000000,-0.983287
0.853707,0.000000,-0.968083
0.856713,0.000000,-0.952960
0.859719,0.000000,-0.937918
0.862725,0.000000,-0.922956
0.865731,0.000000,-0.908075
0.868737,0.000000,-0.893274
0.871743,0.000000,-0.878554
0.874749,0.000000,-0.863915
0.877756,0.000000,-0.849356
0.880762,0.000000,-0.834878
0.883768,0.000000,-0.820481
0.886774,0.000000,-0.806164
0.889780,0.000000,-0.791927
0.892786,0.000000,-0.777772
0.895792,0.000000,-0.763697
0.898798,0.000000,-0.749702
0.901804,0.000000,-0.735789
0.904810,0.000000,-0.721955
0.907816,0.000000,-0.708203
0.910822,0.000000,-0.694531
0.913828,0.000000,-0.680939
0.916834,0.000000,-0.667429
0.919840,0.000000,-0.653999
0.922846,0.000000,-0.640649
0.925852,0.000000,-0.627380
0.928858,0.000000,-0.614192
0.931864,0.000000,-0.601084
0.934870,0.000000,-0.588057
0.937876,0.000000,-0.575111
0.940882,0.000000,-0.562245
0.943888,0.000000,-0.549460
0.946894,0.000000,-0.536755
0.949900,0.000000,-0.524131
0.952906,0.000000,-0.511588
0.955912,0.000000,-0.499125
0.958918,0.000000,-0.486743
0.961924,0.000000,-0.474442
0.964930,0.000000,-0.462221
0.967936,0.000000,-0.450081
0.970942,0.000000,-0.438021
0.973948,0.000000,-0.426042
0.976954,0.000000,-0.414144
0.979960,0.000000,-0.402326
0.982966,0.000000,-0.390589
0.985972,0.000000,-0.378932
0.988978,0.000000,-0.367356
0.991984,0.000000,-0.355861
0.994990,0.000000,-0.344446
0.997996,0.000000,-0.333112
1.001002,0.000000,-0.321859
1.004008,0.000000,-0.310686
1.007014,0.000000,-0.299594
1.010020,0.000000,-0.288582
1.013026,0.000000,-0.277651
1.016032,0.000000,-0.266801
1.019038,0.000000,-0.256031
1.022044,0.000000,-0.245342
1.025050,0.000000,-0.234733
1.028056,0.000000,-0.224205
1.031062,0.000000,-0.213758
1.034068,0.000000,-0.203391
1.037074,0.000000,-0.193105
1.040080,0.000000,-0.182900
1.043086,0.000000,-0.172775
1.046092,0.000000,-0.162731
1.049098,0.000000,-0.152767
1.052104,0.000000,-0.142884
1.055110,0.000000,-0.133082
1.058116,0.000000,-0.123360
1.061122,0.000000,-0.113719
1.064128,0.000000,-0.104158
1.067134,0.000000,-0.094678
1.070140,0.000000,-0.085279
1.073146,0.000000,-0.075960
1.076152,0.000000,-0.066722
1.079158,0.000000,-0.057565
1.082164,0.000000,-0.048488
1.085170,0.000000,-0.039492
1.088176,0.000000,-0.030576
1.091182,0.000000,-0.021741
1.094188,0.000000,-0.012987
1.097194,0.000000,-0.004313
1.100200,0.000000,0.004280
1.103206,0.000000,0.012793
1.106212,0.000000,0.021224
1.109218,0.000000,0.029576
1.112224,0.000000,0.037846
1.115230,0.000000,0.046036
1.118236,0.000000,0.054146
1.121242,0.000000,0.062175
1.124248,0.000000,0.070123
1.127255,0.000000,0.077990
1.130261,0.000000,0.085777
1.133267,0.000000,0.093484
1.136273,0.000000,0.101110
1.139279,0.000000,0.108655
1.142285,0.000000,0.116119
1.145291,0.000000,0.123503
1.148297,0.000000,0.130806
1.151303,0.000000,0.138029
1.154309,0.000000,0.145171
1.157315,0.000000,0.152232
1.160321,0.000000,0.159213
1.163327,0.000000,0.166113
1.166333,0.000000,0.172933
1.169339,0.000000,0.179672
1.172345,0.000000,0.186330
1.175351,0.000000,0.192908
1.178357,0.000000,0.199405
1.181363,0.000000,0.205822
1.184369,0.000000,0.212157
1.187375,0.000000,0.218413
1.190381,0.000000,0.224587
1.193387,0.000000,0.230681
1.196393,0.000000,0.236695
1.199399,0.000000,0.242628
