a,b,R2
0.523046,0.000000,-5.507614
0.526052,0.000000,-5.476951
0.529058,0.000000,-5.446389
0.532064,0.000000,-5.415928
0.535070,0.000000,-5.385567
0.538076,0.000000,-5.355306
0.541082,0.000000,-5.325146
0.544088,0.000000,-5.295087
0.547094,0.000000,-5.265127
0.550100,0.000000,-5.235269
0.553106,0.000000,-5.205510
0.556112,0.000000,-5.175852
0.559118,0.000000,-5.146295
0.562124,0.000000,-5.116838
0.565130,0.000000,-5.087481
0.568136,0.000000,-5.058225
0.571142,0.000000,-5.029070
0.574148,0.000000,-5.000015
0.577154,0.000000,-4.971060
0.580160,0.000000,-4.942206
0.583166,0.000000,-4.913452
0.586172,0.000000,-4.884799
0.589178,0.000000,-4.856246
0.592184,0.000000,-4.827793
0.595190,0.000000,-4.799441
0.598196,0.000000,-4.771190
0.601202,0.000000,-4.743038
0.604208,0.000000,-4.714988
0.607214,0.000000,-4.687038
0.610220,0.000000,-4.659188
0.613226,0.000000,-4.631439
0.616232,0.000000,-4.603790
0.619238,0.000000,-4.576241
0.622244,0.000000,-4.548793
0.625251,0.000000,-4.521446
0.628257,0.000000,-4.494199
0.631263,0.000000,-4.467052
0.634269,0.000000,-4.440006
0.637275,0.000000,-4.413060
0.640281,0.000000,-4.386215
0.643287,0.000000,-4.359470
0.646293,0.000000,-4.332826
0.649299,0.000000,-4.306282
0.652305,0.000000,-4.279838
0.655311,0.000000,-4.253495
0.658317,0.000000,-4.227253
0.661323,0.000000,-4.201111
0.664329,0.000000,-4.175069
0.667335,0.000000,-4.149128
0.670341,0.000000,-4.123287
0.673347,0.000000,-4.097547
0.676353,0.000000,-4.071907
0.679359,0.000000,-4.046368
0.682365,0.000000,-4.020929
0.685371,0.000000,-3.995590
0.688377,0.000000,-3.970352
0.691383,0.000000,-3.945215
0.694389,0.000000,-3.920177
0.697395,0.000000,-3.895241
0.700401,0.000000,-3.870404
0.703407,0.000000,-3.845669
0.706413,0.000000,-3.821033
0.709419,0.000000,-3.796498
0.712425,0.000000,-3.772064
0.715431,0.000000,-3.747730
0.718437,0.000000,-3.723496
0.721443,0.000000,-3.699363
0.724449,0.000000,-3.675331
0.727455,0.000000,-3.651398
0.730461,0.000000,-3.627567
0.733467,0.000000,-3.603835
0.736473,0.000000,-3.580204
0.739479,0.000000,-3.556674
0.742485,0.000000,-3.533244
0.745491,0.000000,-3.509915
0.748497,0.000000,-3.486686
0.751503,0.000000,-3.463557
0.754509,0.000000,-3.440529
0.757515,0.000000,-3.417601
0.760521,0.000000,-3.394774
0.763527,0.000000,-3.372047
0.766533,0.000000,-3.349421
0.769539,0.000000,-3.326895
0.772545,0.000000,-3.304469
0.775551,0.000000,-3.282144
0.778557,0.000000,-3.259920
0.781563,0.000000,-3.237796
0.784569,0.000000,-3.215772
0.787575,0.000000,-3.193849
0.790581,0.000000,-3.172026
0.793587,0.000000,-3.150304
0.796593,0.000000,-3.128682
0.799599,0.000000,-3.107161
0.802605,0.000000,-3.085740
0.805611,0.000000,-3.064419
0.808617,0.000000,-3.043199
0.811623,0.000000,-3.022080
0.814629,0.000000,-3.001060
0.817635,0.000000,-2.980142
0.820641,0.000000,-2.959323
0.823647,0.000000,-2.938606
0.826653,0.000000,-2.917988
0.829659,0.000000,-2.897471
0.832665,0.000000,-2.877055
0.835671,0.000000,-2.856739
0.838677,0.000000,-2.836523
0.841683,0.000000,-2.816408
0.844689,0.000000,-2.796394
0.847695,0.000000,-2.776479
0.850701,0.000000,-2.756666
0.853707,0.000000,-2.736952
0.856713,0.000000,-2.717340
0.859719,0.000000,-2.697827
0.862725,0.000000,-2.678415
0.865731,0.000000,-2.659104
0.868737,0.000000,-2.639893
0.871743,0.000000,-2.620782
0.874749,0.000000,-2.601772
0.877756,0.000000,-2.582862
0.880762,0.000000,-2.564053
0.883768,0.000000,-2.545344
0.886774,0.000000,-2.526736
0.889780,0.000000,-2.508228
0.892786,0.000000,-2.489821
0.895792,0.000000,-2.471514
0.898798,0.000000,-2.453307
0.901804,0.000000,-2.435201
0.904810,0.000000,-2.417195
0.907816,0.000000,-2.399290
0.910822,0.000000,-2.381485
0.913828,0.000000,-2.363781
0.916834,0.000000,-2.346177
0.919840,0.000000,-2.328674
0.922846,0.000000,-2.311271
0.925852,0.000000,-2.293968
0.928858,0.000000,-2.276766
0.931864,0.000000,-2.259665
0.934870,0.000000,-2.242664
0.937876,0.000000,-2.225763
0.940882,0.000000,-2.208963
0.943888,0.000000,-2.192263
0.946894,0.000000,-2.175664
0.949900,0.000000,-2.159165
0.952906,0.000000,-2.142766
0.955912,0.000000,-2.126468
0.958918,0.000000,-2.110271
0.961924,0.000000,-2.094174
0.964930,0.000000,-2.078177
0.967936,0.000000,-2.062281
0.970942,0.000000,-2.046485
0.973948,0.000000,-2.030790
0.976954,0.000000,-2.015195
0.979960,0.000000,-1.999701
0.982966,0.000000,-1.984307
0.985972,0.000000,-1.969013
0.988978,0.000000,-1.953820
0.991984,0.000000,-1.938728
0.994990,0.000000,-1.923735
0.997996,0.000000,-1.908844
1.001002,0.000000,-1.894053
1.004008,0.000000,-1.879362
1.007014,0.000000,-1.864771
1.010020,0.000000,-1.850282
1.013026,0.000000,-1.835892
1.016032,0.000000,-1.821603
1.019038,0.000000,-1.807415
1.022044,0.000000,-1.793327
1.025050,0.000000,-1.779339
1.028056,0.000000,-1.765452
1.031062,0.000000,-1.751665
1.034068,0.000000,-1.737979
1.037074,0.000000,-1.724393
1.040080,0.000000,-1.710907
1.043086,0.000000,-1.697523
1.046092,0.000000,-1.684238
1.049098,0.000000,-1.671054
1.052104,0.000000,-1.657970
1.055110,0.000000,-1.644987
1.058116,0.000000,-1.632105
1.061122,0.000000,-1.619322
1.064128,0.000000,-1.606641
1.067134,0.000000,-1.594059
1.070140,0.000000,-1.581578
1.073146,0.000000,-1.569198
1.076152,0.000000,-1.556918
1.079158,0.000000,-1.544738
1.082164,0.000000,-1.532659
1.085170,0.000000,-1.520681
1.088176,0.000000,-1.508803
1.091182,0.000000,-1.497025
1.094188,0.000000,-1.485348
1.097194,0.000000,-1.473771
1.100200,0.000000,-1.462294
1.103206,0.000000,-1.450918
1.106212,0.000000,-1.439643
1.109218,0.000000,-1.428468
1.112224,0.000000,-1.417393
1.115230,0.000000,-1.406419
1.118236,0.000000,-1.395546
1.121242,0.000000,-1.384772
1.124248,0.000000,-1.374100
1.127255,0.000000,-1.363527
1.130261,0.000000,-1.353055
1.133267,0.000000,-1.342684
1.136273,0.000000,-1.332413
1.139279,0.000000,-1.322242
