Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                  27",4.208165874712e-01,-1.122388295481e-02,4.687422228462e-03,-1.591130518327e-02,1.029936370587e-02
"                  28",4.344489464712e-01,-1.060247514365e-02,4.427977036821e-03,-1.503045218048e-02,9.729214608648e-03
"                  29",5.161468104428e-01,-8.613846597633e-03,3.948887571105e-03,-1.256273416874e-02,8.255810869921e-03
"                  30",5.888936614440e-01,-6.599835734042e-03,3.491247705899e-03,-1.009108343994e-02,6.791165572920e-03
"                  31",5.894562777031e-01,-5.510538546603e-03,3.192837330900e-03,-8.703375877503e-03,5.948106604202e-03
"                  32",5.214335971577e-01,-5.461236486490e-03,3.029460014573e-03,-8.490696501064e-03,5.760078257818e-03
"                  33",4.492063368821e-01,-5.590304670389e-03,2.888934424851e-03,-8.479239095240e-03,5.684086760046e-03
"                  34",4.369455451585e-01,-4.894270222920e-03,2.595320130027e-03,-7.489590352947e-03,5.042455241487e-03
"                  35",4.936212881834e-01,-3.249852226840e-03,2.125092259430e-03,-5.374944486270e-03,3.750018372850e-03
"                  36",5.713422223434e-01,-1.757658923734e-03,1.743873821328e-03,-3.501532745061e-03,2.622703283194e-03
"                  37",6.102531276365e-01,-1.405493170937e-03,1.654525576912e-03,-3.060018747849e-03,2.357272162381e-03
"                  38",5.888884131329e-01,-1.972482106650e-03,1.699561346588e-03,-3.672043453238e-03,2.685802399913e-03
"                  39",5.357096097162e-01,-2.473161963613e-03,1.617172988063e-03,-4.090334951676e-03,2.853753969869e-03
"                  40",5.012820020559e-01,-1.705362738129e-03,1.172968680844e-03,-2.878331418973e-03,2.025650049909e-03
"                  41",5.146737731097e-01,3.629105014607e-04,4.609426077960e-04,-9.803210633537e-05,2.794873570657e-04
"                  42",5.640883332843e-01,2.710307287878e-03,-2.174126178391e-04,2.927719905717e-03,-1.572566261778e-03
"                  43",6.130625910022e-01,4.188727419316e-03,-5.781400319469e-04,4.766867451263e-03,-2.672503741605e-03
"                  44",6.324220309805e-01,4.291032277928e-03,-5.733557180479e-04,4.864387995976e-03,-2.718871857012e-03
"                  45",6.212755618068e-01,3.702285586830e-03,-5.092787645480e-04,4.211564351378e-03,-2.360421557963e-03
"                  46",6.005001948274e-01,3.513391820215e-03,-7.214434744024e-04,4.234835294618e-03,-2.478139384510e-03
"                  47",5.918175238222e-01,4.286797267544e-03,-1.272525362886e-03,5.559322630430e-03,-3.415923996658e-03
"                  48",6.027191753868e-01,5.769674394353e-03,-1.952206535661e-03,7.721880930014e-03,-4.837043732838e-03
"                  49",6.250457252368e-01,7.266858727562e-03,-2.492204023079e-03,9.759062750641e-03,-6.125633386860e-03
"                  50",6.449474306017e-01,8.096342213268e-03,-2.713542264783e-03,1.080988447805e-02,-6.761713371417e-03
"                  51",6.539666578534e-01,8.062596877481e-03,-2.647799022909e-03,1.071039590039e-02,-6.679097461649e-03
"                  52",6.526642524492e-01,7.494189903303e-03,-2.467382470819e-03,9.961572374122e-03,-6.214477422471e-03
"                  53",6.487427005186e-01,6.903962188803e-03,-2.350328672530e-03,9.254290861332e-03,-5.802309766931e-03
"                  54",6.505720371494e-01,6.484428029206e-03,-2.287023912484e-03,8.771451941690e-03,-5.529237927087e-03
"                  55",6.599772621909e-01,6.070355909786e-03,-2.152191596061e-03,8.222547505847e-03,-5.187369550954e-03
"                  56",6.709635610726e-01,5.455565387961e-03,-1.858502416663e-03,7.314067804624e-03,-4.586285110643e-03
"                  57",6.783799576711e-01,4.602675298044e-03,-1.437705687021e-03,6.040380985065e-03,-3.739043336043e-03
"                  58",6.827716755657e-01,3.693266282388e-03,-1.011239751327e-03,4.704506033715e-03,-2.857872892521e-03
"                  59",6.865638702317e-01,2.991213143660e-03,-7.185459807862e-04,3.709759124446e-03,-2.214152552616e-03
"                  60",6.911483097270e-01,2.606504384480e-03,-5.821393079432e-04,3.188643692423e-03,-1.885391500183e-03
"                  61",6.959585800913e-01,2.564787793065e-03,-5.981046733435e-04,3.162892466409e-03,-1.880498569876e-03
"                  62",7.008088013374e-01,2.718360035588e-03,-6.802332534669e-04,3.398593289055e-03,-2.039413271261e-03
"                  63",7.047371581981e-01,2.811324611396e-03,-7.179377598750e-04,3.529262371271e-03,-2.123600065573e-03
"                  64",7.072424201809e-01,2.686647429915e-03,-6.576136853620e-04,3.344261115277e-03,-2.000937400320e-03
"                  65",7.081604931431e-01,2.408624344790e-03,-5.498307408385e-04,2.958455085629e-03,-1.754142913234e-03
